ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n716-k35.vrp,43529,708,43497,711,43580,746,43501,712,43560,684,43607,686,43482,710,43511,676,43500,702,43536,690
X-n733-k159.vrp,136469,600,136537,539,136523,593,136509,561,136646,634,136415,566,136563,533,136349,626,136450,525,136423,548
X-n749-k98.vrp,77633,629,77649,596,77671,630,77700,652,77661,583,77623,619,77645,579,77661,572,77703,565,77729,658
X-n766-k71.vrp,115027,708,114849,688,114936,686,114753,709,115087,702,115129,724,114715,687,114968,697,115054,696,114937,693
X-n783-k48.vrp,72509,802,72587,777,72604,720,72711,856,72586,771,72532,735,72431,760,72647,780,72661,796,72683,939
X-n801-k40.vrp,73496,773,73391,775,73403,761,73397,786,73443,834,73427,781,73371,786,73376,758,73504,803,73421,765
X-n819-k171.vrp,159013,633,158936,783,158862,606,159159,612,159006,689,159044,633,159053,625,158866,627,159093,652,159220,638
X-n837-k142.vrp,194276,903,194174,733,194343,948,194373,804,194108,702,194171,750,194287,768,194117,895,194405,851,194517,874
X-n856-k95.vrp,89099,801,89078,808,89045,811,89028,788,89053,812,89058,778,89037,799,89076,827,89019,775,89073,813
X-n876-k59.vrp,99582,741,99632,746,99555,787,99482,746,99583,756,99534,740,99594,736,99530,726,99444,715,99610,747
X-n895-k37.vrp,54087,762,54030,742,54086,773,53992,754,54074,784,54077,786,54112,742,53970,739,53959,767,54005,750
X-n916-k207.vrp,330335,723,330558,987,331011,911,330099,705,330792,925,330628,742,330409,866,330549,830,330421,920,330404,722
X-n936-k151.vrp,133217,587,133645,604,133636,562,133398,546,133278,572,133222,573,133246,595,133385,583,133606,618,133748,573
X-n957-k87.vrp,85568,825,85542,802,85496,876,85618,844,85539,829,85615,853,85565,820,85517,841,85552,850,85542,811
X-n979-k58.vrp,119278,979,119339,1049,119217,947,119208,1037,119164,999,119186,977,119314,1020,119187,983,119113,1045,119152,950
X-n1001-k43.vrp,72510,729,72532,722,72498,714,72514,718,72689,733,72590,718,72621,702,72581,716,72652,686,72557,728
