ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n701-k44.vrp,82348,66,82326,68,82328,64,82345,67,82397,67,82463,69,82398,69,82389,68,82357,64,82338,67
X-n716-k35.vrp,43666,67,43683,76,43725,70,43660,67,43635,70,43719,68,43653,72,43758,70,43691,71,43682,73
X-n733-k159.vrp,136999,70,136783,63,136537,54,136760,61,136773,55,136803,59,136635,58,136722,62,136645,58,136640,63
X-n749-k98.vrp,77846,62,77876,65,77994,66,77869,67,77832,66,77888,65,77832,61,77819,67,77951,66,77986,64
X-n766-k71.vrp,115199,74,114913,69,115206,68,115155,72,115218,72,115515,71,115164,68,115252,72,115210,69,115302,70
X-n783-k48.vrp,72914,73,72950,78,72894,76,72962,77,72674,75,72970,72,72939,83,72825,73,72912,79,72778,72
X-n801-k40.vrp,73450,75,73378,74,73492,79,73458,71,73456,72,73483,74,73436,72,73433,75,73555,73,73491,76
X-n819-k171.vrp,159519,65,159235,62,159264,64,159619,65,159533,70,159536,60,159347,61,159732,64,159615,55,159309,71
X-n837-k142.vrp,194761,85,194700,68,194952,74,194733,79,194652,75,194746,71,194791,81,194851,79,194632,75,194657,73
X-n856-k95.vrp,89156,85,89111,81,89136,79,89181,78,89082,82,89148,77,89086,80,89109,81,89132,80,89070,81
X-n876-k59.vrp,99714,74,99740,79,99763,79,99750,79,99713,72,99649,73,99733,79,99787,83,99735,75,99863,78
X-n895-k37.vrp,54305,77,54399,85,54304,72,54300,74,54208,71,54235,70,54201,71,54415,71,54205,71,54133,75
X-n916-k207.vrp,331011,92,331355,80,331287,96,332060,97,331596,87,331538,86,331191,77,331411,80,331221,83,331307,77
X-n936-k151.vrp,133746,60,134109,61,134012,58,133627,58,133780,59,134052,59,134058,60,133885,60,133976,56,133838,59
X-n957-k87.vrp,85600,83,85601,82,85619,79,85570,79,85588,78,85590,81,85672,81,85580,83,85678,83,85611,81
X-n979-k58.vrp,119348,94,119555,101,119396,115,120342,113,119396,101,119322,96,119480,104,119466,98,119376,97,119323,99
X-n1001-k43.vrp,72808,71,72972,70,72971,75,72845,69,72841,70,73130,70,72969,71,72890,71,72736,75,72897,70
