ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n573-k30.vrp,50858,88,50835,90,50978,96,50833,88,50855,87,50832,85,50793,86,50805,82,50844,86,50877,87
X-n586-k159.vrp,191664,71,191780,69,191038,74,191307,74,191399,89,191519,83,191143,73,191530,75,191295,82,191272,83
X-n599-k92.vrp,108802,73,108792,84,108834,82,108887,82,108746,83,108759,77,109038,83,108929,73,108927,76,108806,71
X-n613-k62.vrp,59951,58,60015,54,59817,53,59944,52,59947,53,59965,53,59889,52,59883,52,60033,55,59934,59
X-n627-k43.vrp,62403,89,62396,81,62356,77,62430,72,62380,84,62393,76,62365,80,62389,80,62450,75,62374,73
X-n641-k35.vrp,63857,78,63962,77,63860,79,63880,92,63866,91,63912,79,63836,88,63844,85,63902,83,63853,77
X-n655-k131.vrp,106841,164,106833,170,106829,163,106809,166,106831,164,106807,159,106812,175,106830,154,106846,153,106788,156
X-n670-k130.vrp,148858,73,148733,69,149561,69,147369,69,148022,71,148424,66,147495,66,147102,66,147398,67,148079,77
X-n685-k75.vrp,68678,68,68705,68,68689,65,68528,64,68595,70,68690,70,68651,70,68694,66,68453,63,68587,68
X-n701-k44.vrp,82264,78,82374,70,82184,72,82265,69,82291,65,82390,67,82315,69,82110,67,82283,73,82269,65
X-n716-k35.vrp,43676,72,43666,78,43577,78,43691,73,43651,74,43593,75,43637,72,43638,80,43668,73,43620,73
X-n733-k159.vrp,136555,66,136821,64,136676,64,136692,66,136842,68,136571,61,136579,63,136728,63,136799,67,136497,65
X-n749-k98.vrp,77821,68,77820,64,77873,65,77861,65,77856,65,77767,74,77931,66,77749,64,77833,69,77954,64
X-n766-k71.vrp,115005,72,114838,78,115129,74,115197,77,115141,75,115169,72,115086,77,115044,75,115045,71,115104,74
X-n783-k48.vrp,72555,81,72673,91,72707,84,72690,79,72779,83,72765,89,72663,88,73018,84,72877,91,72631,78
X-n801-k40.vrp,73628,92,73513,89,73433,85,73420,86,73449,85,73499,89,73518,93,73504,91,73401,88,73545,88
X-n819-k171.vrp,159369,62,159448,66,159137,64,159534,73,159617,69,159365,69,159283,63,159095,63,159200,66,159193,68
X-n837-k142.vrp,194724,85,194568,72,194819,80,194674,89,194672,98,194739,73,194649,81,194622,79,194783,77,194504,78
X-n856-k95.vrp,89086,97,89190,100,89048,99,89165,101,89106,100,89105,100,89093,99,89101,98,89173,106,89050,100
X-n876-k59.vrp,99739,74,99865,83,99675,77,99888,79,99680,77,99722,78,99723,78,99727,78,99788,77,99836,84
X-n895-k37.vrp,54169,82,54104,79,54255,84,54209,86,54226,80,54236,82,54128,86,54130,81,54289,82,54156,87
X-n916-k207.vrp,331458,85,331174,89,331266,78,331168,81,331545,88,331641,87,331843,92,331164,86,330968,83,331371,78
X-n936-k151.vrp,133807,68,133827,70,133645,69,134176,73,133726,69,134492,72,133998,71,133640,72,134171,74,134005,70
X-n957-k87.vrp,85573,100,85549,100,85505,98,85582,103,85520,97,85568,101,85642,102,85510,101,85555,96,85597,101
X-n979-k58.vrp,120105,104,120177,106,120246,104,120305,98,120238,105,120224,97,120046,99,119929,103,120266,107,120195,118
X-n1001-k43.vrp,72716,80,72793,81,72833,77,72799,76,72959,81,72904,77,72833,79,72798,77,72775,75,72907,76
